"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060294","cilium movement involved in cell motility","4/32","215/18986",0.0186046511627907,11.0383720930233,6.08231161427225,0.000448401249873023,0.0089243790903001,0.00692583392766323,"ODAD3/CELF3/DNAI1/PACRG",4
"GO:0001539","cilium or flagellum-dependent cell motility","4/32","218/18986",0.018348623853211,10.8864678899083,6.03240180647613,0.000472467128310005,0.0089243790903001,0.00692583392766323,"ODAD3/CELF3/DNAI1/PACRG",4
"GO:0060285","cilium-dependent cell motility","4/32","218/18986",0.018348623853211,10.8864678899083,6.03240180647613,0.000472467128310005,0.0089243790903001,0.00692583392766323,"ODAD3/CELF3/DNAI1/PACRG",4
"GO:0036158","outer dynein arm assembly","2/32","24/18986",0.0833333333333333,49.4427083333333,9.75712383898755,0.00074219043416529,0.0135184686222964,0.0104911129039906,"ODAD3/DNAI1",2
"GO:0048169","regulation of long-term neuronal synaptic plasticity","2/32","25/18986",0.08,47.465,9.55201901799171,0.000805880565221976,0.0141723823539037,0.0109985877503979,"SYP/CAMK2B",2
"GO:0016188","synaptic vesicle maturation","2/32","26/18986",0.0769230769230769,45.6394230769231,9.35870875932438,0.000872119482771714,0.0146093061421727,0.0113376658605922,"SYP/RAB3A",2
"GO:0003341","cilium movement","4/32","258/18986",0.0155038759689922,9.19864341085271,5.44798624179596,0.000888016647857555,0.0146093061421727,0.0113376658605922,"ODAD3/CELF3/DNAI1/PACRG",4
"GO:0048024","regulation of mRNA splicing, via spliceosome","3/32","114/18986",0.0263157894736842,15.6134868421053,6.43023975823568,0.000921073179240311,0.0146796037941425,0.0113922209011302,"CELF3/NOVA1/CELF5",3
"GO:0006906","vesicle fusion","3/32","128/18986",0.0234375,13.90576171875,6.01964199438192,0.00128687502820968,0.0195713043366081,0.0151884632209796,"CPLX2/RPH3AL/RAB3A",3
"GO:0023061","signal release","5/32","493/18986",0.0101419878296146,6.01736815415822,4.63794501455522,0.00130475362244054,0.0195713043366081,0.0151884632209796,"CPLX2/SYP/PPFIA3/RPH3AL/RAB3A",5
"GO:0090174","organelle membrane fusion","3/32","130/18986",0.0230769230769231,13.6918269230769,5.96624226317086,0.00134556272887141,0.0196067711921262,0.0152159875505458,"CPLX2/RPH3AL/RAB3A",3
"GO:0050684","regulation of mRNA processing","3/32","136/18986",0.0220588235294118,13.0877757352941,5.81286213212283,0.00153166993934317,0.0216986574740282,0.0168394121986267,"CELF3/NOVA1/CELF5",3
"GO:0006904","vesicle docking involved in exocytosis","2/32","39/18986",0.0512820512820513,30.4262820512821,7.55835561130812,0.00196144592211666,0.0263246689547236,0.020429464451963,"CPLX2/PPFIA3",2
"GO:0017158","regulation of calcium ion-dependent exocytosis","2/32","39/18986",0.0512820512820513,30.4262820512821,7.55835561130812,0.00196144592211666,0.0263246689547236,0.020429464451963,"RPH3AL/RAB3A",2
"GO:0070286","axonemal dynein complex assembly","2/32","41/18986",0.0487804878048781,28.9420731707317,7.35924227911106,0.00216600587007345,0.0283246921471143,0.0219815980336739,"ODAD3/DNAI1",2
"GO:0008277","regulation of G protein-coupled receptor signaling pathway","3/32","160/18986",0.01875,11.124609375,5.28431979536187,0.00243487158266669,0.0310446126790003,0.0240924135548073,"APLP1/SYP/RPH3AL",3
"GO:0003351","epithelial cilium movement involved in extracellular fluid movement","2/32","46/18986",0.0434782608695652,25.7961956521739,6.91837079646662,0.002719606040174,0.0338292458655791,0.0262534498358261,"ODAD3/DNAI1",2
"GO:1903307","positive regulation of regulated secretory pathway","2/32","47/18986",0.0425531914893617,25.2473404255319,6.83855538462336,0.00283749722197064,0.0344553234096435,0.026739322192004,"RPH3AL/RAB3A",2
"GO:0048284","organelle fusion","3/32","172/18986",0.0174418604651163,10.3484738372093,5.06050924160776,0.00298769769459073,0.0349110629860902,0.0270930024412176,"CPLX2/RPH3AL/RAB3A",3
"GO:0006376","mRNA splice site recognition","2/32","49/18986",0.0408163265306122,24.2168367346939,6.68613820727037,0.00308038791053737,0.0349110629860902,0.0270930024412176,"CELF3/CELF5",2
"GO:0006858","extracellular transport","2/32","49/18986",0.0408163265306122,24.2168367346939,6.68613820727037,0.00308038791053737,0.0349110629860902,0.0270930024412176,"ODAD3/DNAI1",2
"GO:0017157","regulation of exocytosis","3/32","183/18986",0.0163934426229508,9.72643442622951,4.87392288118797,0.00355731999276708,0.039439852093722,0.0306076045144262,"CPLX2/RPH3AL/RAB3A",3
"GO:0016050","vesicle organization","4/32","386/18986",0.0103626943005181,6.14831606217617,4.19886810680315,0.00385663059802941,0.0418485447871276,0.0324768892465634,"CPLX2/SYP/RPH3AL/RAB3A",4
"GO:0043484","regulation of RNA splicing","3/32","190/18986",0.0157894736842105,9.36809210526316,4.76321720238675,0.00395215305114312,0.0419916261683956,0.0325879286673205,"CELF3/NOVA1/CELF5",3
