"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000224470.8",-2217.23022222222,2538.87640449438,-14.2478156061856,4.28367146337818e-31,8.16837062942586e-28,60.0342766041153
"ENSG00000157106.17",-5248.65066666667,5504.05056179775,-14.2129661554809,5.39806450471898e-31,9.95025230154849e-28,59.8060116094352
"ENSG00000115524.17",-10941.3253333334,15515.404494382,-14.2017713687793,5.81434911882329e-31,1.03718610297358e-27,59.7326752041785
"ENSG00000165219.22",-1724.21422222222,2169.79775280899,-14.1905007321432,6.26591906484004e-31,1.08280955739559e-27,59.6588369723179
"ENSG00000081791.9",-1648.33777777778,2713.10674157303,-14.1711145614535,7.1262883951982e-31,1.16918717823462e-27,59.5318193219785
"ENSG00000095787.23",-5093.50933333334,6459.53370786517,-14.1698024325834,7.18862258991611e-31,1.16918717823462e-27,59.5232217706559
"ENSG00000186566.13",-2391.54488888889,2896.2191011236,-14.1551038136064,7.92532662393121e-31,1.22246289540968e-27,59.4269065495428
"ENSG00000152404.15",-576.554666666667,688.078651685393,-14.1544781244678,7.95831104264966e-31,1.22246289540968e-27,59.4228064333065
"ENSG00000164190.19",-3383.07822222223,3881.08988764045,-14.1379851898036,8.87910102628693e-31,1.32704164230443e-27,59.3147236031006
"ENSG00000048649.13",-2427.86133333334,2757.3202247191,-14.1193077093059,1.0051248787367e-30,1.44593618113719e-27,59.1923126663286
"ENSG00000145868.17",-1428.99733333333,1915.48314606742,-14.1171309354414,1.01975643437224e-30,1.44593618113719e-27,59.1780454065479
"ENSG00000083896.13",-2522.57333333334,3820.56179775281,-14.1116930183724,1.05724651022269e-30,1.46161686922011e-27,59.1424028363948
"ENSG00000048405.10",-837.193777777778,1017,-14.1011314970084,1.13404644126088e-30,1.47988933756709e-27,59.0731747862157
"ENSG00000128585.18",-1695.73866666667,1702.84269662921,-14.1002526904134,1.14068305406958e-30,1.47988933756709e-27,59.0674142544357
"ENSG00000138286.15",-601.348444444445,844.011235955056,-14.0989295620339,1.15074850386779e-30,1.47988933756709e-27,59.0587411640586
"ENSG00000108021.20",-2514.23644444445,2612.63483146067,-14.0642043379945,1.4491880066855e-30,1.82133289958413e-27,58.8310955215517
"ENSG00000253352.10",-3569.53777777778,5048.25842696629,-14.0535056339087,1.55590226252964e-30,1.91199642701393e-27,58.7609502907487
"ENSG00000078403.17",-1034.66844444445,1247.64606741573,-14.0470117890604,1.6244744472822e-30,1.91789533499627e-27,58.7183719716025
"ENSG00000166326.7",-4185.41688888889,4989.2808988764,-14.0464943175852,1.63006710328984e-30,1.91789533499627e-27,58.7149789940805
"ENSG00000143614.10",-1370.46488888889,1974.3595505618,-14.0283239484751,1.83915620161267e-30,2.1188228915204e-27,58.5958330187704
"ENSG00000005339.15",-4023.128,4810.05056179775,-14.0233644717229,1.90075095939768e-30,2.12008133506381e-27,58.5633110102247
"ENSG00000158636.16",-737.287111111112,881.089887640449,-14.0219120309796,1.9191774785333e-30,2.12008133506381e-27,58.5537864037482
