"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000187257.16",-1230.26755555556,1510.25842696629,-15.2524361806649,5.59291366585383e-34,2.54205344465387e-29,66.5887277172081
"ENSG00000198000.12",-1155.28088888889,1534.80898876404,-15.1769528895415,9.19384959819841e-34,2.54205344465387e-29,66.0982877064027
"ENSG00000225830.15",-754.82488888889,821.85393258427,-15.1031117260034,1.49558261216976e-33,2.75680742901251e-29,65.618157493414
"ENSG00000234545.8",-322.587555555556,365.432584269663,-15.0323918827203,2.38410905768027e-33,3.29597116951653e-29,65.1579982391287
"ENSG00000147133.16",-1926.28,2145.70224719101,-14.9100083275005,5.34674129684732e-33,5.69526130189653e-29,64.360949572084
"ENSG00000080802.19",-812.907555555557,1078.97191011236,-14.8880902561914,6.17941876189067e-33,5.69526130189653e-29,64.2181093893959
"ENSG00000122257.20",-2148.73333333334,2686.45505617978,-14.8562552804592,7.62548113473441e-33,6.0240211609954e-29,64.0105910325952
"ENSG00000135974.10",-704.508444444446,918.089887640449,-14.7308570364073,1.74665684459938e-32,1.20735471061876e-28,63.1926174665285
"ENSG00000119402.17",-2330.07377777778,3045.05617977528,-14.6981176675281,2.16890710361642e-32,1.33264882136538e-28,62.9789163830523
"ENSG00000136891.14",-861.996444444446,1161.86516853933,-14.6299012176523,3.40601425017197e-32,1.8834918202026e-28,62.5334622921506
"ENSG00000047410.14",-5335.31644444445,6318.33707865169,-14.5994983127052,4.16519105068407e-32,2.09391727192526e-28,62.3348535853539
"ENSG00000204120.16",-3063.97422222222,3353.95505617978,-14.5235349809114,6.88753455913388e-32,3.17394811321287e-28,61.8384165496084
"ENSG00000116984.14",-2390.17955555556,2759.01685393258,-14.5059811570608,7.73669761894955e-32,3.29101262792532e-28,61.7236583089458
"ENSG00000115904.14",-2389.05688888889,2522.90449438202,-14.4877402820476,8.73032026840664e-32,3.44841414659014e-28,61.604392836608
"ENSG00000171448.9",-439.407111111112,527.342696629213,-14.4563036685411,1.07517945984306e-31,3.91667291410784e-28,61.3988119373133
"ENSG00000141084.11",-902.234666666668,1329.65168539326,-14.4412128071304,1.18825001714377e-31,3.91667291410784e-28,61.3001083180659
"ENSG00000159140.21",-9022.36088888889,10058.6123595506,-14.4392178785356,1.2040622712858e-31,3.91667291410784e-28,61.2870594574186
"ENSG00000075292.19",-3228.312,4529.66292134831,-14.4050408329166,1.51014032666622e-31,4.63940277357309e-28,61.0634786026734
"ENSG00000174796.12",-429.974222222222,581.792134831461,-14.3842779302377,1.73295688393838e-31,5.03214554381567e-28,60.9276252146264
"ENSG00000147274.14",-3789.70666666667,6160.14606741573,-14.3748632793656,1.84455863026461e-31,5.03214554381567e-28,60.8660180514993
"ENSG00000009954.11",-4170.63555555556,5270.66853932584,-14.362966022988,1.9959372837111e-31,5.03214554381567e-28,60.7881597349596
"ENSG00000163510.14",-1012.06666666667,1402.95505617978,-14.362510458747,2.00197475476853e-31,5.03214554381567e-28,60.7851782967627
"ENSG00000166783.22",-3070.87288888889,3949.06179775281,-14.3421241252926,2.29171598208741e-31,5.35077166250258e-28,60.6517507664137
"ENSG00000143379.12",-849.849777777779,1123.98314606742,-14.3401275245662,2.32225754353717e-31,5.35077166250258e-28,60.6386821458076
"ENSG00000161021.13",-1917.79822222222,2538.07865168539,-14.2828196887617,3.39601109116699e-31,7.51184069321774e-28,60.2635050582824
"ENSG00000132300.19",-1395.29066666667,2128.58426966292,-14.2696911094687,3.7050170541842e-31,7.70871276131643e-28,60.17753685583
"ENSG00000236088.10",-263.662222222222,322.674157303371,-14.2673175428744,3.76381570291585e-31,7.70871276131643e-28,60.1619935751157
"ENSG00000173145.11",-611.226666666667,800.005617977528,-14.2504411926625,4.20969955051797e-31,8.16837062942586e-28,60.0514723065195
