"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000105290.13",-52680.397,3867.69662921348,-39.2436806938432,9.41805460494601e-89,5.20809001598909e-84,190.302778617324
"ENSG00000108309.14",-9985.081,705.089887640449,-38.7897369205994,5.87274394980553e-88,1.62378433840148e-83,188.541773515585
"ENSG00000145920.15",-35303.215,2628.34269662921,-37.4851043471249,1.2444045841293e-85,2.29381096992554e-81,183.379743454188
"ENSG00000077080.10",-2267.775,148.775280898876,-36.4444659968933,9.91098364332817e-84,1.37016871123101e-79,179.151588219375
"ENSG00000159409.15",-11573.263,906.303370786517,-32.2451320963704,1.29428413744694e-75,1.43145237033357e-71,161.018101057804
"ENSG00000198003.12",-589.463,62.8314606741573,-32.1782373432111,1.76775614523897e-75,1.62925245125949e-71,160.714538197909
"ENSG00000258986.7",-12504.202,779.977528089888,-30.7291879558904,1.69908731536761e-72,1.34225470646448e-68,154.018918246075
"ENSG00000224046.2",-179.388,29.2247191011236,-30.5213936715174,4.63363075575264e-72,3.20293933952956e-68,153.039639816778
"ENSG00000135097.7",-3066.556,299.421348314607,-30.4471275463441,6.6395280416778e-72,4.07954734640823e-68,152.688460334713
"ENSG00000132563.16",-5893.606,556.14606741573,-28.5303187187829,8.82993089454936e-68,4.88286348537685e-64,143.404454713728
"ENSG00000108641.19",-2583.278,576,-28.1444986224703,6.27889120532929e-67,3.15651277057731e-63,141.483417439574
"ENSG00000067840.12",-5223.201,596.977528089888,-28.0441384745391,1.04885312034674e-66,4.83337739183788e-63,140.980780461397
"ENSG00000257698.2",-1203.142,197.011235955056,-27.9761687022507,1.48565699891365e-66,6.31964202945584e-63,140.639674237975
"ENSG00000105613.10",-1409.471,141.606741573034,-27.2811944993661,5.3881438147396e-65,2.12827832008061e-61,137.119704317607
"ENSG00000165548.11",-11028.121,760.61797752809,-27.2224050800082,7.31978190990022e-65,2.69851079890382e-61,136.819230460725
"ENSG00000277200.1",-1458.661,144.651685393258,-26.2021089701791,1.59349575980606e-62,5.50742012634471e-59,131.536229704387
"ENSG00000120645.12",-4702.162,431.308988764045,-26.1466479943394,2.14286033951719e-62,6.97047258323299e-59,131.245330898813
"ENSG00000229770.2",-39.325,2.75280898876404,-26.1358541459561,2.27012256598327e-62,6.97419487646161e-59,131.188671012316
"ENSG00000260903.3",-1758.857,146.561797752809,-25.9172613166558,7.3246660502433e-62,2.13182477848634e-58,130.038057297884
"ENSG00000141665.13",-284.449,43.5337078651685,-25.8484441333247,1.06040614510897e-61,2.93196997091906e-58,129.674573642731
"ENSG00000102003.11",-17530.747,1295.18539325843,-25.5361450212648,5.72582044790157e-61,1.50777211880242e-57,128.017509862785
"ENSG00000181045.15",-3318.363,750.241573033708,-25.4498639536603,9.14303081825376e-61,2.29818391463007e-57,127.55751719205
"ENSG00000178467.18",-10582.9,2824.05617977528,-25.3930787456766,1.2447333236609e-60,2.99271774196191e-57,127.25425942898
"ENSG00000178796.13",-496.104,49.8932584269663,-24.8606607095841,2.28952012632585e-59,5.27534056107054e-56,124.390876965952
"ENSG00000129535.13",-243.504,83.123595505618,-24.7698361645744,3.77577591997927e-59,8.35186530395734e-56,123.898788802089
"ENSG00000176490.5",-2395.988,275.303370786517,-24.7566593398731,4.06035066884766e-59,8.63589737063872e-56,123.82730859357
"ENSG00000049769.14",-1530.752,278.544943820225,-24.7365258306721,4.53732233479243e-59,9.29294028858098e-56,123.718047401361
"ENSG00000058404.20",-8487.448,676.174157303371,-24.6162905655257,8.81691885078019e-59,1.74130998403319e-55,123.064464982124
"ENSG00000177380.14",-3595.359,651.876404494382,-24.423500619557,2.56785319035602e-58,4.89654184736198e-55,122.01259809904
"ENSG00000139910.20",-1970.794,254.533707865169,-24.1670573921419,1.07208947163863e-57,1.97618252307149e-54,120.606001686041
"ENSG00000181031.16",-5955.167,1217.00561797753,-24.1365487641618,1.27147537094384e-57,2.26810698509108e-54,120.438095291224
"ENSG00000277692.1",-95.793,19,-23.9702975236871,3.22750615040787e-57,5.5774332066064e-54,119.521002314913
"ENSG00000235314.1",-680.844,144.668539325843,-23.8022810592948,8.30332625844424e-57,1.36013238842901e-53,118.590532768639
"ENSG00000176049.16",-1733.558,254.14606741573,-23.8010180699658,8.36262883715555e-57,1.36013238842901e-53,118.583524511589
"ENSG00000184905.9",-4790.537,401.544943820225,-23.7626710455622,1.03806614996908e-56,1.64011485791829e-53,118.37064047464
"ENSG00000196132.14",-2337.684,162.921348314607,-23.6596962766022,1.85664077288099e-56,2.85195494720961e-53,117.798030182931
"ENSG00000204052.4",-530.724,98.0337078651685,-23.5854247413478,2.82623025160115e-56,4.22399207252141e-53,117.384174838799
"ENSG00000125814.17",-3896.741,906.280898876405,-23.5775888803072,2.9544541233685e-56,4.29943048863566e-53,117.340470120954
"ENSG00000133169.6",-14198.877,1306.05056179775,-23.5632234666275,3.20488871061853e-56,4.54428566175626e-53,117.260325936957
"ENSG00000173258.13",-6317.777,878.258426966292,-23.5449565961145,3.55436201613206e-56,4.91381662825217e-53,117.158376926252
"ENSG00000133027.18",-6576.634,696.550561797753,-23.4719606709935,5.37727845159441e-56,7.2526370998712e-53,116.750547406271
"ENSG00000112530.11",-986.073,134.061797752809,-23.3316244489022,1.19413197366102e-55,1.57224533360669e-52,115.964540613778
"ENSG00000249695.6",-385.932,28.1460674157303,-23.3069672965483,1.37417514178328e-55,1.76722118989474e-52,115.826174283276
"ENSG00000072071.16",-7974.941,1666.05056179775,-23.2981971432208,1.44458529729857e-55,1.81554823534803e-52,115.776940536595
"ENSG00000234409.7",-437.608,52.9157303370786,-23.2767740654702,1.63219007066723e-55,2.00574397150727e-52,115.656633940293
"ENSG00000261411.1",-77.755,7.02247191011236,-23.0751692248313,5.1644580400965e-55,6.2084644599847e-52,114.521547421973
"ENSG00000249637.2",-128.811,27.1348314606742,-23.0609331570846,5.60316867621333e-55,6.49475482584833e-52,114.441194843747
"ENSG00000278385.1",-273.111,50.9719101123596,-23.0598666957076,5.63750215448236e-55,6.49475482584833e-52,114.435174358419
"ENSG00000249684.6",-1003.168,110.073033707865,-22.9819787842583,8.81081490387745e-55,9.94345415039835e-52,113.995074273067
"ENSG00000036530.9",-1019.741,93.1516853932584,-22.8923369961093,1.47442353210453e-54,1.63068293803696e-51,113.487582588405
